#TIME	REQUESTED	bash	cellranger	cr_lib	mrjob	mrp	python	python3	python3.11	slurm_script	sps
1	0	0	0	0	0	0	0	0	1.14441e-05	3.8147e-06	0.000473022
2	0	0	1.56648e-06	3.54834e-06	3.84636e-06	0.0246009	0	0	1.90735e-05	3.8147e-06	0.000968933
3	0	0	1.56648e-06	3.14321e-06	3.59677e-06	0.02463	0	0	1.90735e-05	3.8147e-06	0.00146484
4	0	0	1.56648e-06	0.170786	3.77744e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00196075
5	0	0	1.56648e-06	0.598741	3.77744e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00246429
6	0	0	1.56648e-06	1.02357	3.77744e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00295639
7	0	0	1.56648e-06	1.44619	3.77744e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00345993
8	0	0	1.56648e-06	1.80723	3.79514e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00395584
9	0	0	1.56648e-06	2.33654	3.79514e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00445175
10	0	0	1.56648e-06	2.77609	3.79514e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00495148
11	0	0	1.56648e-06	3.15858	3.81283e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00545502
12	0	0	1.56648e-06	3.54982	3.81283e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.0059433
13	0	0	1.56648e-06	3.97392	3.81283e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00644684
14	0	0	1.56648e-06	4.48387	3.81283e-06	0.0516577	0	0	1.90735e-05	3.8147e-06	0.00694275
15	0	0	1.56648e-06	4.90684	3.83053e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.00744247
16	0	0	1.56648e-06	5.32706	3.83053e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.00793839
17	0	0	1.56648e-06	0.0838796	3.77744e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.00843811
18	0	0	1.56648e-06	0.501669	3.77744e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.00893784
19	0	0	1.56648e-06	0.895625	3.77744e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.00943375
20	0	0	1.56648e-06	1.25685	3.77744e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.00992966
21	0	0	1.56648e-06	1.77479	3.79514e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.0104332
22	0	0	1.56648e-06	2.22288	3.79514e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.0109253
23	0	0	1.56648e-06	2.58249	3.79514e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.0114288
24	0	0	1.56648e-06	3.02144	3.79514e-06	5.7131	0	0	1.90735e-05	3.8147e-06	0.0119209
25	0	0	1.56648e-06	3.45111	3.81283e-06	5.71311	0	0	1.90735e-05	3.8147e-06	0.0124207
26	0	0	1.56648e-06	3.87291	3.81283e-06	5.71311	0	0	1.90735e-05	3.8147e-06	0.0129204
27	0	0	1.56648e-06	4.29768	3.81283e-06	5.71311	0	0	1.90735e-05	3.8147e-06	0.0134163
28	0	0	1.56648e-06	4.72197	3.83053e-06	5.71311	0	0	1.90735e-05	3.8147e-06	0.0139122
29	0	0	1.56648e-06	5.227	3.83053e-06	5.71311	0	0	1.90735e-05	3.8147e-06	0.0144157
30	0	0	1.56648e-06	5.72709	3.83053e-06	5.71311	0	0	1.90735e-05	3.8147e-06	0.0149078
31	0	0	1.56648e-06	0.00399122	3.77744e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0154114
32	0	0	1.56648e-06	0.42684	3.77744e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0159035
33	0	0	1.56648e-06	0.804986	3.77744e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0164032
34	0	0	1.56648e-06	1.1919	3.77744e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0169029
35	0	0	1.56648e-06	1.62982	3.79514e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0174026
36	0	0	1.56648e-06	2.07142	3.79514e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0178947
37	0	0	1.56648e-06	2.51658	3.79514e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0183945
38	0	0	1.56648e-06	2.87807	3.79514e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0188942
39	0	0	1.56648e-06	3.31348	3.81283e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0193939
40	0	0	1.56648e-06	3.74642	3.81283e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0198898
41	0	0	1.56648e-06	4.18582	3.81283e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0203896
42	0	0	1.56648e-06	4.52718	3.83053e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0208855
43	0	0	1.56648e-06	4.95419	3.83053e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0213852
44	0	0	1.56648e-06	5.36439	3.83053e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.0218849
45	0	0	1.56648e-06	5.80225	3.83053e-06	11.82	0	0	1.90735e-05	3.8147e-06	0.022377
46	0	0	1.56648e-06	3.23635e-06	3.77744e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0228767
47	0	0	1.56648e-06	0.425227	3.77744e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0233803
48	0	0	1.56648e-06	0.849844	3.77744e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0238724
49	0	0	1.56648e-06	1.27006	3.77744e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0243721
50	0	0	1.56648e-06	1.66902	3.79514e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.024868
51	0	0	1.56648e-06	2.14789	3.79514e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0253677
52	0	0	1.56648e-06	2.591	3.79514e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0258675
53	0	0	1.56648e-06	3.0307	3.79514e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0263634
54	0	0	1.56648e-06	3.37866	3.81283e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0268593
55	0	0	1.56648e-06	3.89493	3.81283e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.027359
56	0	0	1.56648e-06	4.32365	3.81283e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0278587
57	0	0	1.56648e-06	4.74923	3.83053e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0283546
58	0	0	1.56648e-06	5.17475	3.83053e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0288506
59	0	0	1.56648e-06	5.59147	3.83053e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.0293541
60	0	0	1.56648e-06	6.11498	3.83053e-06	18.0134	0	0	1.90735e-05	3.8147e-06	0.02985
61	0	0	1.56648e-06	0.339163	3.77744e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0303459
62	0	0	1.56648e-06	0.765304	3.77744e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0308456
63	0	0	1.56648e-06	1.18329	3.77744e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0313416
64	0	0	1.56648e-06	1.526	3.79514e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0318413
65	0	0	1.56648e-06	2.05445	3.79514e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0323448
66	0	0	1.56648e-06	2.49599	3.79514e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0328331
67	0	0	1.56648e-06	2.88695	3.79514e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0333366
68	0	0	1.56648e-06	3.28435	3.81283e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0338326
69	0	0	1.56648e-06	3.80034	3.81283e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0343323
70	0	0	1.56648e-06	4.23014	3.81283e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0348282
71	0	0	1.56648e-06	4.65536	3.81283e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0353279
72	0	0	1.56648e-06	5.07817	3.83053e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0358238
73	0	0	1.56648e-06	5.49844	3.83053e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0363274
74	0	0	1.56648e-06	5.91623	3.83053e-06	24.213	0	0	1.90735e-05	3.8147e-06	0.0368233
75	0	0	1.56648e-06	0.169777	3.77744e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0373192
76	0	0	1.56648e-06	0.681986	3.77744e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0378151
77	0	0	1.56648e-06	1.19682	3.77744e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0383186
78	0	0	1.56648e-06	1.71613	3.77744e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0388107
79	0	0	1.56648e-06	2.34369	3.79514e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0393105
80	0	0	1.56648e-06	2.88048	3.79514e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0398102
81	0	0	1.56648e-06	3.39157	3.79514e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0403061
82	0	0	1.56648e-06	3.9276	3.81283e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0408058
83	0	0	1.56648e-06	4.44393	3.81283e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0413055
84	0	0	1.56648e-06	4.9556	3.81283e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0417976
85	0	0	1.56648e-06	5.55561	3.81283e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0423012
86	0	0	1.56648e-06	6.01868	3.83053e-06	30.4201	0	0	1.90735e-05	3.8147e-06	0.0428009
87	0	0	1.56648e-06	0.254554	3.77744e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.043293
88	0	0	1.56648e-06	0.680639	3.77744e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0437927
89	0	0	1.56648e-06	1.10263	3.77744e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0442924
90	0	0	1.56648e-06	1.5284	3.79514e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0447884
91	0	0	1.56648e-06	1.96873	3.79514e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0452881
92	0	0	1.56648e-06	2.41278	3.79514e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0457802
93	0	0	1.56648e-06	2.85552	3.79514e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0462799
94	0	0	1.56648e-06	3.2346	3.81283e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0467796
95	0	0	1.56648e-06	3.72055	3.81283e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0472794
96	0	0	1.56648e-06	4.15229	3.81283e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0477715
97	0	0	1.56648e-06	4.57664	3.81283e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0482712
98	0	0	1.56648e-06	5.00169	3.83053e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0487709
99	0	0	1.56648e-06	5.3435	3.83053e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0492706
100	0	0	1.56648e-06	5.84101	3.83053e-06	36.5968	0	0	1.90735e-05	3.8147e-06	0.0497665
101	0	0	1.56648e-06	0.169176	3.77744e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0502663
102	0	0	1.56648e-06	0.594752	3.77744e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.050766
103	0	0	1.56648e-06	0.961128	3.77744e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0512619
104	0	0	1.56648e-06	1.36191	3.77744e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0517616
105	0	0	1.56648e-06	1.89061	3.79514e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0522575
106	0	0	1.56648e-06	2.24491	3.79514e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0527534
107	0	0	1.56648e-06	2.69021	3.79514e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.053257
108	0	0	1.56648e-06	3.13029	3.81283e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0537491
109	0	0	1.56648e-06	3.56353	3.81283e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0542488
110	0	0	1.56648e-06	3.99928	3.81283e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0547485
111	0	0	1.56648e-06	4.40183	3.81283e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0552444
112	0	0	1.56648e-06	4.76598	3.83053e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0557442
113	0	0	1.56648e-06	5.2636	3.83053e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.0562439
114	0	0	1.56648e-06	5.66809	3.83053e-06	42.703	0	0	1.90735e-05	3.8147e-06	0.056736
115	0	0	1.56648e-06	0.000136754	3.77093e-06	48.8001	0	0	1.90735e-05	3.8147e-06	0.0572395
116	0	0	1.56648e-06	3.25311e-06	3.79421e-06	49.0734	0	0	1.90735e-05	3.8147e-06	0.0577354
117	0	0	1.56648e-06	3.25311e-06	3.79421e-06	49.2157	0	0	1.90735e-05	3.8147e-06	0.0582352
118	0	0	1.56648e-06	3.25311e-06	3.79421e-06	49.4689	0	0	1.90735e-05	3.8147e-06	0.0587273
119	0	0	1.56648e-06	3.25311e-06	3.79421e-06	49.6929	0	0	1.90735e-05	3.8147e-06	0.0592308
120	0	0	1.56648e-06	3.25311e-06	3.79421e-06	49.9108	0	0	1.90735e-05	3.8147e-06	0.0597305
121	0	0	1.56648e-06	3.25311e-06	3.79421e-06	50.1297	0	0	1.90735e-05	3.8147e-06	0.0602264
122	0	0	1.56648e-06	3.25311e-06	3.79421e-06	50.3354	0	0	1.90735e-05	3.8147e-06	0.0607224
123	0	0	1.56648e-06	3.25311e-06	3.79421e-06	50.579	0	0	1.90735e-05	3.8147e-06	0.0612221
124	0	0	1.56648e-06	3.25311e-06	3.79421e-06	50.8127	0	0	1.90735e-05	3.8147e-06	0.061718
125	0	0	1.56648e-06	3.25311e-06	3.79421e-06	51.037	0	0	1.90735e-05	3.8147e-06	0.0622177
126	0	0	1.56648e-06	5.79404e-05	3.78955e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0627174
127	0	0	1.56648e-06	5.79404e-05	3.78955e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0632133
128	0	0	1.56648e-06	5.79404e-05	3.78955e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0637093
129	0	0	1.56648e-06	0.0364274	3.78955e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0645676
130	0	0	1.56648e-06	0.0364274	3.80725e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0648193
131	0	0	1.56648e-06	0.0364274	3.80725e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0650635
132	0	0	1.56648e-06	0.0712809	3.80725e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0653152
133	0	0	1.56648e-06	0.0712809	3.82494e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0655632
134	0	0	1.56648e-06	0.0712809	3.82494e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.065815
135	0	0	1.56648e-06	0.0712809	3.82494e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0660629
136	0	0	1.56648e-06	0.0712809	3.82494e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0663109
137	0	0	1.56648e-06	0.0712809	3.84264e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0665588
138	0	0	1.56648e-06	0.105921	3.84264e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0668106
139	0	0	1.56648e-06	0.105921	3.84264e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0670586
140	0	0	1.56648e-06	0.105921	3.84264e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0673065
141	0	0	1.56648e-06	0.14112	3.86033e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0675545
142	0	0	1.56648e-06	0.14112	3.86033e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0678101
143	0	0	1.56648e-06	0.14112	3.86033e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0680542
144	0	0	1.56648e-06	0.176715	3.86033e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0683022
145	0	0	1.56648e-06	0.176715	3.87803e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0685539
146	0	0	1.56648e-06	0.176715	3.87803e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0688019
147	0	0	1.56648e-06	0.176715	3.87803e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0690536
148	0	0	1.56648e-06	0.462729	3.89572e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0692978
149	0	0	1.56648e-06	0.462729	3.89572e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0695457
150	0	0	1.56648e-06	0.462729	3.89572e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0697975
151	0	0	1.56648e-06	0.462729	3.89572e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0700417
152	0	0	1.56648e-06	0.462729	3.91342e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0702934
153	0	0	1.56648e-06	0.462729	3.91342e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0705414
154	0	0	1.56648e-06	0.498224	3.91342e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0707893
155	0	0	1.56648e-06	0.538386	3.91342e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0710411
156	0	0	1.56648e-06	0.577387	3.93111e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0712891
157	0	0	1.56648e-06	0.610122	3.93111e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0715332
158	0	0	1.56648e-06	0.646358	3.93111e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0717888
159	0	0	1.56648e-06	0.685584	3.94881e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0720367
160	0	0	1.56648e-06	0.725782	3.94881e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0722847
161	0	0	1.56648e-06	0.765023	3.94881e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0725288
162	0	0	1.56648e-06	0.804407	3.94881e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0727806
163	0	0	1.56648e-06	0.844983	3.9665e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0730286
164	0	0	1.56648e-06	0.871708	3.9665e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0732765
165	0	0	1.56648e-06	0.896944	3.9665e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0735283
166	0	0	1.56648e-06	0.92745	3.9665e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0737762
167	0	0	1.56648e-06	0.965207	3.9842e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0740242
168	0	0	1.56648e-06	1.00443	3.9842e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.074276
169	0	0	1.56648e-06	1.04375	3.9842e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0745201
170	0	0	1.56648e-06	1.17148	3.9842e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0747719
171	0	0	1.56648e-06	1.17148	4.00189e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0750237
172	0	0	1.56648e-06	1.17148	4.00189e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0752678
173	0	0	1.56648e-06	1.20552	4.00189e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0755157
174	0	0	1.56648e-06	1.20552	4.01959e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0757713
175	0	0	1.56648e-06	1.20552	4.01959e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0760155
176	0	0	1.56648e-06	1.20552	4.01959e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0762634
177	0	0	1.56648e-06	1.24136	4.01959e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0765152
178	0	0	1.56648e-06	1.24136	4.03728e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.076767
179	0	0	1.56648e-06	1.24136	4.03728e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0770111
180	0	0	1.56648e-06	1.27778	4.03728e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0772629
181	0	0	1.56648e-06	1.27778	4.03728e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0775108
182	0	0	1.56648e-06	1.27778	4.05498e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0777588
183	0	0	1.56648e-06	1.30847	4.05498e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0780144
184	0	0	1.56648e-06	1.30847	4.05498e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0782585
185	0	0	1.56648e-06	1.30847	4.05498e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0785027
186	0	0	1.56648e-06	1.34488	4.07267e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0787621
187	0	0	1.56648e-06	1.34488	4.07267e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0790062
188	0	0	1.56648e-06	1.34488	4.07267e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0792542
189	0	0	1.56648e-06	1.34488	4.09037e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0795059
190	0	0	1.56648e-06	1.3811	4.09037e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0797501
191	0	0	1.56648e-06	1.3811	4.09037e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0800018
192	0	0	1.56648e-06	1.3811	4.09037e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0802498
193	0	0	1.56648e-06	1.41546	4.10806e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0805016
194	0	0	1.56648e-06	1.41546	4.10806e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0807457
195	0	0	1.56648e-06	1.41546	4.10806e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0809975
196	0	0	1.56648e-06	1.45104	4.10806e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0812492
197	0	0	1.56648e-06	1.45104	4.12576e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0814972
198	0	0	1.56648e-06	1.45104	4.12576e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0817413
199	0	0	1.56648e-06	1.45104	4.12576e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0819969
200	0	0	1.56648e-06	1.48567	4.12576e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0822449
201	0	0	1.56648e-06	1.48567	4.14345e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.082489
202	0	0	1.56648e-06	1.48567	4.14345e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.082737
203	0	0	1.56648e-06	1.51988	4.14345e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0829849
204	0	0	1.56648e-06	1.51988	4.16115e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0832329
205	0	0	1.56648e-06	1.51988	4.16115e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0834808
206	0	0	1.56648e-06	1.55476	4.16115e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0837326
207	0	0	1.56648e-06	1.55476	4.16115e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0839806
208	0	0	1.56648e-06	1.55476	4.17884e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0842285
209	0	0	1.56648e-06	1.59135	4.17884e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0844803
210	0	0	1.56648e-06	1.59135	4.17884e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0847244
211	0	0	1.56648e-06	1.59135	4.17884e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0849724
212	0	0	1.56648e-06	1.62722	4.19654e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.085228
213	0	0	1.56648e-06	1.62722	4.19654e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0854721
214	0	0	1.56648e-06	1.62722	4.19654e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0857201
215	0	0	1.56648e-06	1.62722	4.21423e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0859756
216	0	0	1.56648e-06	1.66382	4.21423e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0862198
217	0	0	1.56648e-06	1.66382	4.21423e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0864677
218	0	0	1.56648e-06	1.66382	4.21423e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0867195
219	0	0	1.56648e-06	1.70021	4.23193e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0869713
220	0	0	1.56648e-06	1.70021	4.23193e-06	51.2566	0	0	1.90735e-05	3.8147e-06	0.0872154
221	0	0	1.56648e-06	3.24845e-06	3.78955e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0874672
222	0	0	1.56648e-06	5.79404e-05	3.78955e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0877151
223	0	0	1.56648e-06	5.79404e-05	3.78955e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0879631
224	0	0	1.56648e-06	5.79404e-05	3.78955e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0882187
225	0	0	1.56648e-06	0.0360674	3.80725e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0884628
226	0	0	1.56648e-06	0.0360674	3.80725e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.088707
227	0	0	1.56648e-06	0.0360674	3.80725e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0889664
228	0	0	1.56648e-06	0.0708413	3.80725e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0892105
229	0	0	1.56648e-06	0.0708413	3.82494e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0894585
230	0	0	1.56648e-06	0.0708413	3.82494e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0897102
231	0	0	1.56648e-06	0.107566	3.82494e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0899582
232	0	0	1.56648e-06	0.107566	3.84264e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0902061
233	0	0	1.56648e-06	0.107566	3.84264e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0904541
234	0	0	1.56648e-06	0.107566	3.84264e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0907021
235	0	0	1.56648e-06	0.107566	3.84264e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0909538
236	0	0	1.56648e-06	0.107566	3.86033e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0912018
237	0	0	1.56648e-06	0.107566	3.86033e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0914536
238	0	0	1.56648e-06	0.107566	3.86033e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0916977
239	0	0	1.56648e-06	0.107566	3.86033e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0919495
240	0	0	1.56648e-06	0.107566	3.87803e-06	52.9754	0	0	1.90735e-05	3.8147e-06	0.0922012
